iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,6,3,False,False,,,5.6461,5.01,,,5.6797,5.93
0,6,3,False,True,0.5049998738966287,0.6111486628569857,5.9327,6.03,0.2450163434954468,0.2655503503301089,6.5523,6.65
0,6,3,True,False,,,6.3138,6.05,,,7.2723,7.28
0,6,3,True,True,0.5328280876908212,0.4427558151072675,6.4891,6.96,0.3683868362427633,0.3705978589298241,7.0182,6.85
1,5,6,False,False,,,6.4161,6.37,,,6.6128,6.69
1,5,6,False,True,0.6322736271584166,0.5117530449038317,6.4471,6.55,0.6711163259649384,0.3797295802522015,7.0174,7.31
1,5,6,True,False,,,6.366,6.32,,,7.1622,7.43
1,5,6,True,True,0.8639317450301268,0.4367327607654676,6.5466,6.78,0.5275739145454985,0.2753773227249321,7.3212,7.42
2,9,4,False,False,,,5.435,5.48,,,6.2375,6.37
2,9,4,False,True,0.831226338988466,0.6256369506109264,6.1874,6.17,0.5910310481701478,0.4720864011009933,5.6346,5.59
2,9,4,True,False,,,6.7192,6.99,,,6.6863,6.89
2,9,4,True,True,0.7768455914745276,0.5281315643878663,6.6107,6.54,0.8687281128373965,0.5028533342933552,5.38,5.38
3,2,8,False,False,,,5.1283,5.48,,,4.6869,4.86
3,2,8,False,True,0.3985909818901347,0.2725137437576596,6.327,6.39,0.0635565975113959,0.0376243168466397,5.596,5.75
3,2,8,True,False,,,6.7969,7.13,,,6.1998,6.44
3,2,8,True,True,0.3794074491547064,0.149967005686606,6.5972,6.62,0.1593859047343681,0.1766812749066231,5.8768,5.97
4,3,4,False,False,,,6.5649,6.65,,,5.0219,5.44
4,3,4,False,True,0.0145683417311067,0.3627925282276462,5.6158,5.58,0.7055768862472329,0.6278534374051634,5.2328,5.6
4,3,4,True,False,,,6.8468,6.97,,,6.5146,6.74
4,3,4,True,True,0.310781807684436,0.2179597024021854,6.7155,6.65,0.6562997260955716,0.3779012486215706,6.4358,6.47
5,6,2,False,False,,,3.9382,4.08,,,6.006,6.05
5,6,2,False,True,0.6533596251089765,0.6993280376842097,3.8883,4.03,0.6545786925440169,0.4025298542662153,5.5218,5.43
5,6,2,True,False,,,4.0804,4.2,,,6.1019,6.14
5,6,2,True,True,0.5966353444192452,0.403629330415393,4.1278,4.11,0.6953249570936617,0.3866771855580634,5.6371,5.73
6,3,8,False,False,,,6.7112,6.79,,,5.2896,5.81
6,3,8,False,True,0.6481923758614947,0.4079815058305299,6.4206,6.79,0.3511566041312834,0.449753057470034,6.9605,7.07
6,3,8,True,False,,,7.1877,7.59,,,7.4224,7.84
6,3,8,True,True,0.6145157830110056,0.389840423287787,7.2752,7.33,0.5130238625190497,0.2825453640830996,6.9147,7.26
7,3,7,False,False,,,6.4352,6.52,,,6.4852,6.45
7,3,7,False,True,0.6656899668609474,0.5300203520307963,6.212,6.71,0.1059973086148985,0.3217696026382819,6.4861,6.44
7,3,7,True,False,,,7.3363,7.37,,,6.9035,6.91
7,3,7,True,True,0.6468830653749704,0.3085709295060956,6.6852,7.08,0.1866243054238531,0.2779728438780974,6.935,6.95
8,6,7,False,False,,,7.3316,7.34,,,6.6034,6.46
8,6,7,False,True,0.635144837754501,0.5551392951340249,7.2045,7.45,0.8881339109312959,0.6562608170430724,6.3618,6.68
8,6,7,True,False,,,6.9105,7.06,,,7.547,7.46
8,6,7,True,True,0.6520610634553808,0.5180556921355781,7.0345,6.96,0.8016912015585133,0.4645058655067952,7.0107,7.05
9,3,9,False,False,,,5.5017,5.7,,,5.5561,5.2
9,3,9,False,True,0.5619447811283589,0.4027999680937096,5.1825,5.42,0.4187819547285685,0.2500464641931483,6.2316,6.65
9,3,9,True,False,,,7.1663,7.32,,,7.6128,7.93
9,3,9,True,True,0.6940444881815676,0.2472774894492221,5.8732,6.21,0.4052499707612779,0.230298541631983,6.6628,7.06
10,3,5,False,False,,,6.3917,7.08,,,6.1899,5.99
10,3,5,False,True,0.3424943026221129,0.2562800960599443,6.9121,7.14,0.5419835927208023,0.4669171312363289,6.9321,7.08
10,3,5,True,False,,,7.1887,7.4,,,7.8041,7.85
10,3,5,True,True,0.277233958769319,0.2372027467689065,7.0821,7.47,0.4943553848428306,0.3835236915904175,7.7794,7.99
11,7,5,False,False,,,6.339,6.52,,,5.4276,5.98
11,7,5,False,True,0.4584004993308504,0.6317802627916722,6.7631,7.18,0.411477233607555,0.6405286787964265,7.0345,7.07
11,7,5,True,False,,,7.41,7.37,,,6.3285,6.59
11,7,5,True,True,0.4363000706011958,0.4046728200437667,6.9184,7.26,0.7911298118131846,0.5718701666758573,7.2289,7.31
12,6,3,False,False,,,6.7739,6.75,,,5.759,6.09
12,6,3,False,True,0.8509795983396324,0.5348284961082278,5.8844,5.84,0.8171488987949985,0.5941700905298356,6.1472,6.57
12,6,3,True,False,,,7.0998,7.11,,,5.8476,5.62
12,6,3,True,True,0.7499155567338092,0.3667058907011487,5.7582,5.51,0.6529890885722855,0.4580556556394995,6.4513,6.61
13,7,8,False,False,,,7.4595,7.62,,,5.9351,6.39
13,7,8,False,True,0.5693419828145114,0.457535565252476,6.7905,7.18,0.3483256007172895,0.6366810842723181,6.7804,6.95
13,7,8,True,False,,,7.3963,7.5,,,7.2673,7.68
13,7,8,True,True,0.5191293529934204,0.3862432510128707,6.4765,6.56,0.3236131079232761,0.4829148108642656,7.3827,7.49
14,3,7,False,False,,,6.9513,7.11,,,6.7271,6.77
14,3,7,False,True,0.2333924194886835,0.3918012562208978,5.5911,5.55,0.4341766592296644,0.3733197124254653,6.9776,7.04
14,3,7,True,False,,,6.8893,7.21,,,7.6583,7.65
14,3,7,True,True,0.5561868060879016,0.3817652319062734,6.5328,6.43,0.3674703596325737,0.3659084778431091,6.9562,7.28
15,4,5,False,False,,,6.1188,6.3,,,7.3509,7.18
15,4,5,False,True,0.7,0.3194215726257611,6.1677,6.31,0.2223241676981618,0.3850179334225956,7.1869,7.12
15,4,5,True,False,,,6.1646,6.3,,,7.3839,7.48
15,4,5,True,True,0.8363189864097142,0.3747871464228593,6.1826,6.22,0.2086261685173259,0.3436361802565785,7.3916,7.45
16,8,5,False,False,,,5.858,5.94,,,6.3201,6.34
16,8,5,False,True,0.8500407732897429,0.5322062791361951,6.7615,7.08,0.8480344194419583,0.6229963906220776,7.0268,6.92
16,8,5,True,False,,,7.2114,7.31,,,7.2374,7.39
16,8,5,True,True,0.7060174061997915,0.3841487642947113,6.3753,6.46,0.7943407303544083,0.4522064277157936,7.2151,6.98
17,2,9,False,False,,,6.148,6.46,,,5.6334,6.36
17,2,9,False,True,0.3071730868824212,0.1525620480250933,7.2198,7.63,0.5502072096730253,0.3094104770913982,7.3995,7.57
17,2,9,True,False,,,6.6362,7.1,,,7.1472,7.15
17,2,9,True,True,0.4740324615356311,0.2471537797839942,7.7997,7.9,0.5365002698759017,0.2172747695792078,7.6737,7.57
18,5,3,False,False,,,5.0303,5.27,,,5.2712,5.0
18,5,3,False,True,0.5116856944235126,0.2505369071610747,5.2677,5.5,0.3397870674972085,0.4872133514383635,5.2997,5.4
18,5,3,True,False,,,5.1811,5.28,,,5.9709,6.19
18,5,3,True,True,0.6694782912427512,0.2955070461843809,5.7562,6.0,0.2941480142347832,0.4155556940932932,6.1265,6.31
19,2,7,False,False,,,6.8211,7.05,,,5.8533,6.37
19,2,7,False,True,0.3971196725780456,0.4038218127547112,6.7127,6.97,0.0907477169251038,0.2995456329769007,6.8419,6.57
19,2,7,True,False,,,7.0696,7.35,,,7.4357,7.63
19,2,7,True,True,0.4499743070230527,0.2763637959603578,7.506,7.75,0.1523234272994267,0.2185700418255394,7.7145,7.59
20,6,4,False,False,,,7.2,7.21,,,5.6396,6.23
20,6,4,False,True,0.7346137148357786,0.3537870002334313,6.9761,7.31,0.8298455120977453,0.6610474158005734,6.1415,6.34
20,6,4,True,False,,,7.4685,7.61,,,6.3492,6.33
20,6,4,True,True,0.70996489017647,0.4841571428766337,7.2082,7.38,0.7728719625520687,0.4497533787898885,6.4043,6.5
21,9,9,False,False,,,6.9396,7.06,,,7.0455,7.62
21,9,9,False,True,0.6350488945062025,0.5905594643000697,6.8382,7.02,0.8764896012118679,0.737205532959613,7.1246,7.34
21,9,9,True,False,,,7.5334,7.68,,,7.5142,7.82
21,9,9,True,True,0.664388816580529,0.4252785622918294,6.9518,7.06,0.7999367168098866,0.4594505940456235,7.0699,7.53
22,9,4,False,False,,,5.5877,5.56,,,7.2417,7.25
22,9,4,False,True,0.4699531200839343,0.4035033510641437,4.8102,4.69,0.8157527620491504,0.4258289392577231,7.1841,7.51
22,9,4,True,False,,,5.1816,5.3,,,7.8351,7.9
22,9,4,True,True,0.4552825841646566,0.3685305166144622,5.4136,5.35,0.810741236831911,0.3583028022009023,7.4265,7.69
23,3,9,False,False,,,5.525,5.8,,,6.8108,7.24
23,3,9,False,True,0.4871335719800201,0.3635370594158785,6.2629,6.36,0.63471766702705,0.312263607347489,7.4189,7.56
23,3,9,True,False,,,6.3241,6.54,,,6.9927,7.4
23,3,9,True,True,0.6146315449729275,0.3802455050960208,6.7111,7.1,0.679593168525767,0.2720406608479492,7.4322,7.57
24,6,6,False,False,,,5.9785,6.14,,,6.672,6.66
24,6,6,False,True,0.6133568411762026,0.3716469949460121,6.2503,6.45,0.7872688548764051,0.4740145338120898,6.0538,6.35
24,6,6,True,False,,,7.2665,7.26,,,7.5756,7.7
24,6,6,True,True,0.5205305352829023,0.3395197653705373,6.7789,6.71,0.6392382251728904,0.3708969987972882,6.5606,6.68
25,7,5,False,False,,,5.825,6.24,,,5.5359,5.96
25,7,5,False,True,0.4686520534417341,0.4758278044924698,6.2974,6.17,0.6345894488933179,0.4890661828528565,6.5882,6.65
25,7,5,True,False,,,6.014,5.92,,,6.5594,7.1
25,7,5,True,True,0.5249722063406944,0.4653213751013054,7.0465,7.27,0.6156247071759762,0.3871603634434405,6.6132,6.58
26,4,4,False,False,,,4.5808,4.71,,,6.0653,6.32
26,4,4,False,True,0.4479021432576188,0.4808848684731395,5.7993,5.92,0.412956361476083,0.4896697485174017,6.4595,7.19
26,4,4,True,False,,,5.74,5.79,,,7.5992,7.65
26,4,4,True,True,0.5639029018607997,0.4048776141147972,5.7764,5.97,0.3126920501582512,0.207093936656256,6.7521,7.17
27,9,8,False,False,,,6.449,6.73,,,6.3879,6.53
27,9,8,False,True,0.7253274093495461,0.3804299871720875,6.6363,6.79,0.6670029459380058,0.5434677832082581,6.4756,6.89
27,9,8,True,False,,,7.2892,7.37,,,7.0305,7.35
27,9,8,True,True,0.8347715564470748,0.3964060908761697,6.7386,6.93,0.8664272158730328,0.5063428966541282,6.4781,6.92
28,2,4,False,False,,,6.0807,5.77,,,6.3668,6.36
28,2,4,False,True,0.3747988342953775,0.2444385590718535,6.393,6.58,0.4795821419476593,0.3486511948184901,6.9058,6.87
28,2,4,True,False,,,7.1573,7.08,,,7.1462,7.09
28,2,4,True,True,0.4564563950716396,0.239898644447846,6.7519,6.93,0.4795821419476593,0.1329134207514793,7.9063,8.51
29,7,9,False,False,,,6.6325,6.11,,,4.7939,5.1
29,7,9,False,True,0.5465155983552059,0.6174668505248297,7.3322,7.57,0.7517114116532332,0.398438338843277,6.4111,6.44
29,7,9,True,False,,,7.7806,8.19,,,5.8177,6.19
