iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,4,8,False,False,0.6783727176766947,0.0004252900434116,6.6836,6.9,0.2626176556474214,0.0003789791026132,7.6165,7.69
0,4,8,False,True,0.2320097368934798,0.4717912173748921,5.9654,6.04,0.0306802744239271,0.0024624395706293,6.8929,7.51
0,4,8,True,False,0.1322078529882395,0.000393183175811,7.9209,8.39,0.0830982941799119,0.0006238113342834,7.8849,8.08
0,4,8,True,True,0.2670453371752489,0.4630050332012355,5.9425,7.07,0.0788043382698963,0.5402972923119599,6.3031,5.87
1,4,8,False,False,0.12633539013259,0.0001991704426739,7.1771,7.4,0.2742321765096276,0.0001648561291599,6.9612,7.27
1,4,8,False,True,0.1041445971121451,0.9509603196497268,5.8814,6.64,0.0104800000027843,0.4797534192785846,7.048,7.06
1,4,8,True,False,0.1289821453016282,0.000298133759861,6.8771,7.29,0.3481165100639803,0.0005173582656929,8.3907,8.56
1,4,8,True,True,0.3031273855743017,0.4691598793959544,5.8601,5.37,0.0984747434422297,0.3652810595552843,6.9583,6.83
2,4,8,False,False,0.2834051156336548,0.0004504550022942,6.9816,6.99,0.2570905693261033,0.0002883284922637,6.3334,5.92
2,4,8,False,True,0.1438252692183156,0.3385132756234663,6.9274,7.14,0.2932593136881695,0.933168913301212,6.4641,6.7
2,4,8,True,False,0.2283835831248238,0.0005283882392646,8.1036,8.18,0.2491923108950804,0.0003665137015302,7.6697,7.69
2,4,8,True,True,0.2742236773521869,0.5631089671145663,5.5159,5.56,0.0,0.4494636285869887,5.4939,6.0
3,4,8,False,False,0.032930797628086,0.0005281937243878,7.021,7.21,0.1472886485996085,0.000299499661619,6.5987,6.58
3,4,8,False,True,0.0,0.7177607284427662,7.954,7.89,0.4291690346601775,0.7069361185194591,7.0435,7.23
3,4,8,True,False,0.3151357084716145,0.0009131267285365,7.9776,8.08,0.3933723335445029,0.0004151809466362,7.8616,7.98
3,4,8,True,True,0.6313616358423617,0.4234220809760582,7.7312,7.76,0.1204606118255125,0.5756723318251517,6.9506,6.07
4,4,8,False,False,0.3139630016068971,0.0002340936029752,7.0802,7.45,0.241808140474253,0.0004716672449261,8.4637,8.44
4,4,8,False,True,0.5590184112136023,0.4753078515535081,6.5774,7.17,0.0756806691093363,0.4900904239620937,7.4054,7.59
4,4,8,True,False,0.0488835309136626,0.0005402922484575,7.4669,7.84,0.1849481541057452,0.0005634802904244,8.6953,8.74
