iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,0.0,5.501088446631718e-05,0.4913,0.49,0.1079191695884752,0.0001984549147208,0.4919,0.49
0,2,4,False,True,0.025200665082502,4.176824159179948e-05,0.4979,0.49,0.0278819465967728,0.0008297171547824,0.4973,0.48
0,2,4,True,False,0.057959463932567,3.556400540266812e-05,0.993,1.0,0.0202438228459052,0.0002423699361831,0.9245,1.0
0,2,4,True,True,0.0,0.3709374605423053,0.9415,0.96,0.0,0.384260655511739,0.758,0.79
1,2,4,False,False,0.0969838820820322,3.4043550588824904e-06,0.4963,0.52,0.1308581174348062,1.7469459778825906e-07,0.4915,0.44
1,2,4,False,True,0.0550152085087419,0.0019535598332935,0.9865,1.0,0.0062209480013364,0.9441767374425168,0.4941,0.56
1,2,4,True,False,0.0182509031339608,5.878249248072633e-05,0.9824,1.0,0.1483975307746147,3.413794989172598e-05,0.9936,1.0
1,2,4,True,True,0.0,0.3827230641998346,0.993,1.0,0.2566910659216728,0.3859437479921762,0.9898,1.0
2,2,4,False,False,0.3980081404514121,0.0001460174881289,0.5049,0.42,0.0657148870992323,8.00619521501903e-05,0.5048,0.51
2,2,4,False,True,0.0418143751298556,0.950352948192553,0.51,0.54,0.0,0.0094489445692372,0.9684,1.0
2,2,4,True,False,0.1465165521403036,4.307541368911496e-05,0.9914,1.0,0.2967593447734635,0.0001781928954497,0.9923,1.0
2,2,4,True,True,0.0525340842005133,0.3768243623246063,0.9898,1.0,0.0,0.3895250245545842,0.9444,1.0
3,2,4,False,False,0.0460720406641224,1.0981726749583014e-05,0.5014,0.51,0.0849403217642397,1.7954808919736985e-05,0.502,0.51
3,2,4,False,True,0.0114739527196191,0.0263919804249757,0.4875,0.49,0.0,0.918659398519114,0.493,0.49
3,2,4,True,False,0.0,0.0001894387614612,0.9908,0.99,0.2027090574836277,2.978294929923348e-05,0.9924,1.0
3,2,4,True,True,0.0294702129241991,0.3755837865246883,0.7878,1.0,0.0,0.3802714197131498,0.9826,1.0
4,2,4,False,False,0.0687253263296396,7.826336270014912e-05,0.5068,0.46,0.0436272799018718,4.91443496858763e-06,0.5028,0.46
4,2,4,False,True,0.0,0.9656446964472442,0.5043,0.57,0.0329881748162921,0.0001591010998884,0.9925,1.0
4,2,4,True,False,0.0,2.998063464161332e-05,0.9948,1.0,0.0,1.0802904977463963e-05,0.9892,1.0
4,2,4,True,True,0.0,0.2537688676217268,0.973,1.0,0.077032022181394,0.3833522619691724,0.7961,0.81
5,2,4,False,False,0.1868331792435064,1.2191669734410904e-05,0.4963,0.44,0.0,4.3728490529629935e-05,0.5,0.56
5,2,4,False,True,0.0047295623028677,0.907877090214878,0.4936,0.5,0.0560713292786548,3.982925891140974e-06,0.7277,0.7
5,2,4,True,False,0.0654230270243218,3.091498168342482e-05,0.7502,0.73,0.0,0.0002643224797257,0.8272,1.0
5,2,4,True,True,0.2663453888336859,0.354589341449844,0.597,1.0,0.1748208906600581,0.4495566675875168,0.9908,1.0
6,2,4,False,False,0.0,3.8560016156935e-05,0.4985,0.5,0.3310013263446038,3.23234216894418e-05,0.4991,0.55
6,2,4,False,True,0.0,8.95710775534176e-05,0.5017,0.42,0.2105796871540211,0.0001326856608825,0.5014,0.42
6,2,4,True,False,0.0,0.0001558653336926,0.9852,1.0,0.1122795382338848,0.0001737879900334,0.9864,1.0
6,2,4,True,True,0.0,0.337150903995709,0.7962,0.74,0.0872449004987399,0.3345764823304277,0.8621,1.0
7,2,4,False,False,0.0,6.152011373767072e-05,0.5004,0.46,0.0,2.384814232111712e-06,0.5,0.6
7,2,4,False,True,0.0416375115239729,7.618212574584372e-06,0.5037,0.52,0.029893493275264,0.0020056352603055,0.4995,0.46
7,2,4,True,False,0.0204552459050321,0.0001166007558519,0.9941,1.0,0.2656910504699593,5.3158734210990015e-05,0.9927,1.0
7,2,4,True,True,0.0,0.3797633944744205,0.7399,0.73,0.1068931614396113,0.393496726829693,0.5326,0.68
8,2,4,False,False,0.0231065718214294,0.0001109096244885,0.4996,0.47,0.3424732231860236,6.50023595032226e-06,0.4921,0.47
8,2,4,False,True,0.0254244126715411,0.0523442976749048,0.4993,0.52,0.0,0.0011141780265473,0.5574,0.47
8,2,4,True,False,0.0,0.0001913834757153,0.4917,0.37,0.1706343239920505,0.0001023984240316,0.9938,1.0
8,2,4,True,True,0.5429605298445572,0.4583673155444618,0.8384,1.0,0.0992301552846521,0.3723496915195208,0.9844,1.0
9,2,4,False,False,0.0684237367808063,0.0001009005763038,0.4974,0.49,0.0,1.4794640175319405e-06,0.4926,0.46
9,2,4,False,True,0.0,0.0655097270976997,0.5043,0.58,0.1109454650617672,0.0030494445462828,0.5268,0.54
9,2,4,True,False,0.0,3.932587075668695e-05,0.994,1.0,0.0,0.0001774184315254,0.9942,1.0
9,2,4,True,True,0.0591658780735152,0.3770081299362512,0.747,0.77,0.61953847622688,0.3671659793888884,0.9822,0.99
0,2,4,False,False,0.0138339688911377,7.939087302393674e-08,0.5004,0.5,0.6740357058817744,0.0002411368276636,0.5004,0.49
0,2,4,False,True,0.0926702044980312,0.939808842546254,0.4945,0.47,0.0977764767764287,0.0001247448378644,0.9721,0.99
0,2,4,True,False,0.0672018185273912,9.439899977527056e-05,0.9924,1.0,0.1860215853680847,0.0002376688004563,0.9702,1.0
0,2,4,True,True,0.0,0.0001291399469394,0.8772,1.0,0.0393716630259926,0.4790714753084735,0.9943,1.0
1,2,4,False,False,0.0047295623028677,6.182861656966341e-05,0.497,0.62,0.0811128592157163,1.429120971228676e-05,0.4975,0.62
