iteration,n_signaling_actions,n_final_actions,full_information,with_signals,Agent_0_Initial_NMI,Agent_0_NMI,Agent_0_avg_reward,Agent_0_final_reward,Agent_1_Initial_NMI,Agent_1_NMI,Agent_1_avg_reward,Agent_1_final_reward
0,2,4,False,False,0.396390218202845,0.0003246411636867,0.498,0.55,0.015159999533501,5.139894037823408e-05,0.5036,0.52
0,2,4,False,True,0.1073402031222623,0.9014153616767022,0.4852,0.49,0.0457667660075892,2.386677489955751e-05,0.9769,1.0
0,2,4,True,False,0.0934743453369603,6.761222934422441e-05,0.984,1.0,0.1294387293959025,1.21111212377697e-05,0.9823,1.0
0,2,4,True,True,0.425829887710013,0.3578025300246477,0.9856,1.0,0.0957767258487491,0.4542891027980766,0.9824,1.0
1,2,4,False,False,0.3808814484611865,3.302729646969573e-06,0.5015,0.42,0.0445182664137361,8.834045540863493e-06,0.5046,0.41
1,2,4,False,True,0.1630768310443262,0.9162259108107552,0.9774,0.99,0.1435235716863758,0.9207026097457832,0.9756,1.0
1,2,4,True,False,0.0360983160093819,8.615938540738232e-05,0.9836,1.0,0.1348454541465824,9.472078525194016e-05,0.983,1.0
1,2,4,True,True,0.3808136288029226,0.3677168457252169,0.9832,1.0,0.376884529772348,0.3643108296360844,0.9828,0.99
2,2,4,False,False,0.1322415518099393,1.4355835556251734e-05,0.4892,0.53,0.2277788606834036,1.5693582086479058e-05,0.4974,0.42
2,2,4,False,True,0.2421151694097389,0.9028765124624014,0.4994,0.45,0.0917822516371027,1.5578554292807994e-07,0.9767,0.99
2,2,4,True,False,0.3529603544470462,0.0001758939230265,0.9847,1.0,0.0897677597400238,0.0001019064299071,0.9839,1.0
2,2,4,True,True,0.0553911835203964,0.4554889753211806,0.9828,1.0,0.46288085195207,0.3615488328627858,0.9823,1.0
3,2,4,False,False,0.2349437159650924,8.274777962670064e-05,0.4922,0.54,0.1534168935196261,3.066215741281423e-07,0.4925,0.56
3,2,4,False,True,0.0164316025153195,6.125061108545161e-05,0.5009,0.39,0.2566288366679187,0.0015329787619129,0.4983,0.59
3,2,4,True,False,0.1902378470264883,4.964508674811983e-05,0.9846,1.0,0.288159319914925,0.0002715121493696,0.9854,1.0
3,2,4,True,True,0.0706876045172977,0.3753637981546048,0.9831,1.0,0.5435022488428863,0.3585895108177981,0.9856,1.0
4,2,4,False,False,0.0583946204456196,1.894173641908049e-06,0.4971,0.45,0.4522679082749493,0.0002898487535272,0.4964,0.52
4,2,4,False,True,0.1939760355324785,0.8942500310957565,0.4874,0.48,0.0583629755420091,1.080884716245989e-05,0.9775,1.0
4,2,4,True,False,0.3023499376990046,8.947572318208756e-05,0.9839,1.0,0.1600454139524928,5.1712516099793214e-05,0.982,1.0
4,2,4,True,True,0.3717572797803836,0.364705167593312,0.9841,1.0,0.2460260294613254,0.3669961454314776,0.9804,1.0
5,2,4,False,False,0.0744321563445852,2.922623961265263e-05,0.4905,0.56,0.2987982120881921,2.119399423112212e-05,0.4899,0.56
5,2,4,False,True,0.2190304996788699,0.0029155626021462,0.4879,0.45,0.3313267096809286,0.0001840083239826,0.5109,0.55
5,2,4,True,False,0.2607362611395356,2.9602802423022185e-05,0.9838,1.0,0.3529930674611617,0.0001678345385953,0.9834,0.99
5,2,4,True,True,0.2367472538242179,0.3624923983286483,0.9849,1.0,0.2639038478686138,0.3624172896578247,0.9842,1.0
6,2,4,False,False,0.014648950766892,0.000256652109825,0.4945,0.45,0.226935198590235,4.0338194778688e-05,0.4899,0.58
6,2,4,False,True,0.2352799031296289,0.9007913914459704,0.9784,0.99,0.054185663577682,0.906546491917688,0.9778,1.0
6,2,4,True,False,0.1536371688912391,7.284654600588534e-06,0.9841,1.0,0.4011618102395756,7.309507868569852e-05,0.9839,1.0
6,2,4,True,True,0.5354568197649823,0.3667417570194457,0.9805,1.0,0.1117513506494186,0.4540801619967927,0.983,1.0
7,2,4,False,False,0.0106982025025845,3.566061409144197e-05,0.5009,0.56,0.0633484689906275,4.46800055332325e-06,0.5005,0.56
7,2,4,False,True,0.2610756612313006,0.9077292874850296,0.9778,1.0,0.0582385549051115,0.9182072786846176,0.9778,1.0
7,2,4,True,False,0.2934746025736001,0.0001702756967919,0.9837,1.0,0.2915081049347717,2.369475956364629e-05,0.9836,1.0
7,2,4,True,True,0.1456732960407976,0.4559113691232883,0.9849,1.0,0.2944421444797696,0.3678157493575748,0.9856,1.0
8,2,4,False,False,0.1012039511234477,1.3752663341316326e-05,0.4909,0.45,0.2818298354028831,1.1492264739936398e-05,0.4957,0.52
8,2,4,False,True,0.4169344152438087,0.914991911088467,0.9778,1.0,0.058268288320962,0.9081242500219368,0.9764,1.0
8,2,4,True,False,0.1392774015963308,0.0002076225035092,0.9842,1.0,0.046640944318552,6.933192828073966e-05,0.9829,0.99
8,2,4,True,True,0.1753483739205867,0.4567587040439088,0.9834,1.0,0.3353208385470674,0.3610625984596956,0.9818,1.0
9,2,4,False,False,0.0195046029558851,0.000142654238291,0.4879,0.48,0.3641554931759235,1.028779219898402e-05,0.499,0.46
9,2,4,False,True,0.0325106937089182,0.9123391499308008,0.4889,0.51,0.1569060844576337,5.9158835549417615e-08,0.9786,1.0
9,2,4,True,False,0.1173861527451165,6.991996465095828e-05,0.9852,1.0,0.0,0.0001230525654801,0.9855,1.0
9,2,4,True,True,0.2255079524564566,0.4490836992646623,0.9794,1.0,0.2029729309648402,0.3547176449310832,0.9839,1.0
0,2,4,False,False,0.06974086881070624,3.4211305594807367e-06,0.4999,0.54,0.43665063264607096,0.0002792747659210125,0.4991,0.54
0,2,4,False,True,0.06968214361527914,0.8933274350177207,0.9761,1.0,0.11540883324716504,0.9138914958031633,0.9766,1.0
0,2,4,True,False,0.4462976349124954,0.0001967515986058106,0.9852,1.0,0.44616171009984695,7.734715811657859e-05,0.9835,1.0
